                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.4428,                 1.0636,                 1.2904,                0.44486,                0.34637,                0.31408,                0.11982,                 2.2381,                  1.852,                 1.9228,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.4459,                  1.012,                 1.2946,                0.47126,                0.32294,                0.30716,                0.11659,                 2.2477,                 1.8083,                  1.925,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.4041,                0.95402,                 1.2721,                0.46646,                0.34085,                0.30686,                0.11302,                 2.2826,                 1.8187,                  1.944,              0.0001817,              0.0001817,              0.0001817
                     93,                    1.4,                0.94743,                 1.2699,                  0.451,                0.33076,                0.30566,                0.11703,                 2.2283,                 1.8139,                 1.8984,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.3884,                0.92657,                 1.2683,                0.46915,                0.33541,                0.30622,                0.11695,                 2.2432,                 1.8332,                  1.912,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.3865,                0.92312,                  1.265,                0.46749,                0.33405,                 0.3089,                0.11709,                 2.2648,                 1.8187,                  1.926,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.3897,                0.91986,                 1.2666,                0.41995,                0.36495,                0.29902,                0.11287,                 2.2658,                 1.8296,                 1.9304,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.3641,                 0.9076,                  1.251,                0.45574,                0.34752,                0.30226,                0.11483,                 2.2715,                 1.8293,                 1.9362,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.3675,                0.90518,                 1.2534,                0.44599,                0.33902,                0.29804,                0.11435,                 2.2811,                  1.827,                 1.9568,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.3636,                 0.9016,                 1.2501,                0.46605,                0.33213,                0.30478,                0.11737,                 2.2717,                 1.8159,                 1.9501,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.3618,                 0.8965,                 1.2475,                0.47899,                0.32784,                0.30964,                0.11937,                  2.259,                 1.8186,                 1.9314,             4.9677e-05,             4.9677e-05,             4.9677e-05
